1/12/2021 7:32:02 PM|Quizzame|ROUND 1|Question 1 |ID:159  |Correct:E  |Keypad:4 |Name:Captain Mat  |Pressed:A  |Seconds:0.91  |Question Points:-470  |Total:0
1/12/2021 7:32:02 PM|Quizzame|ROUND 1|Question 1 |ID:159  |Correct:E  |Keypad:10 |Name:Menace to Sobriety  |Pressed:A  |Seconds:1.56  |Question Points:-449  |Total:0
1/12/2021 7:32:03 PM|Quizzame|ROUND 1|Question 1 |ID:159  |Correct:E  |Keypad:17 |Name:Bridgeway Boys  |Pressed:A  |Seconds:2.16  |Question Points:-429  |Total:0
1/12/2021 7:32:04 PM|Quizzame|ROUND 1|Question 1 |ID:159  |Correct:E  |Keypad:3 |Name:Deadly Treadlies  |Pressed:C  |Seconds:3.15  |Question Points:-396  |Total:0
1/12/2021 7:32:05 PM|Quizzame|ROUND 1|Question 1| ID:159  |Correct:E  |Keypad:12 |Name:It'sMyBirthday!  |Pressed:E  |Seconds:3.88  |Question Points:740  |Total:740
1/12/2021 7:32:05 PM|Quizzame|ROUND 1|Question 1| ID:159  |Correct:E  |Keypad:6 |Name:ETC  |Pressed:E  |Seconds:3.76  |Question Points:748  |Total:748
1/12/2021 7:32:05 PM|Quizzame|ROUND 1|Question 1 |ID:159  |Correct:E  |Keypad:2 |Name:The ACB  |Pressed:B  |Seconds:4.66  |Question Points:-346  |Total:0
1/12/2021 7:32:05 PM|Quizzame|ROUND 1|Question 1 |ID:159  |Correct:E  |Keypad:7 |Name:GHS  |Pressed:A  |Seconds:4.58  |Question Points:-349  |Total:0
1/12/2021 7:32:08 PM|Quizzame|ROUND 1|Question 1 |ID:159  |Correct:E  |Keypad:15 |Name:Ale  |Pressed:B  |Seconds:7.38  |Question Points:-256  |Total:0
1/12/2021 7:32:09 PM|Quizzame|ROUND 1|Question 1| ID:159  |Correct:E  |Keypad:5 |Name:Zero for One  |Pressed:E  |Seconds:8.42  |Question Points:436  |Total:436
1/12/2021 7:32:16 PM|Quizzame|ROUND 1|Question 1 |ID:159  |Correct:E  |Keypad:16 |Name:Thirsty Camels  |Pressed:C  |Seconds:15.19  |Question Points:0  |Total:0
1/12/2021 7:32:49 PM|Quizzame|ROUND 1|Question 2| ID:5726  |Correct:A  |Keypad:12 |Name:It'sMyBirthday!  |Pressed:A  |Seconds:1.65  |Question Points:889  |Total:1629
1/12/2021 7:32:50 PM|Quizzame|ROUND 1|Question 2| ID:5726  |Correct:A  |Keypad:6 |Name:ETC  |Pressed:A  |Seconds:2.52  |Question Points:831  |Total:1579
