10/07/2020 7:34:22 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:12 |Name:103  |Pressed:A  |Seconds:0.5  |Question Points:950  |Total:950
10/07/2020 7:34:23 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:6 |Name:The Bobcats  |Pressed:A  |Seconds:0.73  |Question Points:927  |Total:927
10/07/2020 7:34:23 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:5 |Name:SevenMinsInKevin  |Pressed:A  |Seconds:0.81  |Question Points:919  |Total:919
10/07/2020 7:34:23 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:8 |Name:Trans-Houston  |Pressed:A  |Seconds:0.71  |Question Points:929  |Total:-4071
10/07/2020 7:34:23 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:2 |Name:DC  |Pressed:A  |Seconds:0.83  |Question Points:917  |Total:-4083
10/07/2020 7:34:23 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:7 |Name:ETC  |Pressed:A  |Seconds:1.4  |Question Points:860  |Total:860
10/07/2020 7:34:24 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:10 |Name:Father Knows Best  |Pressed:A  |Seconds:1.91  |Question Points:809  |Total:-4191
10/07/2020 7:34:25 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:11 |Name:Quaranteam  |Pressed:A  |Seconds:3.23  |Question Points:677  |Total:677
10/07/2020 7:34:25 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:4 |Name:Seven Up  |Pressed:A  |Seconds:3.03  |Question Points:697  |Total:697
10/07/2020 7:34:28 PM|Quizzame|Question 1| ID:5366  |Correct:A  |Keypad:3 |Name:Rice Queens  |Pressed:A  |Seconds:6.04  |Question Points:396  |Total:396
10/07/2020 7:34:58 PM|Quizzame|Question 2| ID:7099  |Correct:C  |Keypad:2 |Name:DC  |Pressed:C  |Seconds:1.21  |Question Points:919  |Total:-3164
10/07/2020 7:34:59 PM|Quizzame|Question 2| ID:7099  |Correct:C  |Keypad:7 |Name:ETC  |Pressed:C  |Seconds:1.96  |Question Points:869  |Total:1729
10/07/2020 7:34:59 PM|Quizzame|Question 2 |ID:7099  |Correct:C  |Keypad:10 |Name:Father Knows Best  |Pressed:A  |Seconds:1.86  |Question Points:-4.39  |Total:-4191
10/07/2020 7:34:59 PM|Quizzame|Question 2| ID:7099  |Correct:C  |Keypad:11 |Name:Quaranteam  |Pressed:C  |Seconds:2.28  |Question Points:847  |Total:1524
10/07/2020 7:34:59 PM|Quizzame|Question 2| ID:7099  |Correct:C  |Keypad:5 |Name:SevenMinsInKevin  |Pressed:C  |Seconds:2.09  |Question Points:860  |Total:1779
10/07/2020 7:35:00 PM|Quizzame|Question 2 |ID:7099  |Correct:C  |Keypad:12 |Name:103  |Pressed:E  |Seconds:2.98  |Question Points:-402  |Total:950
10/07/2020 7:35:07 PM|Quizzame|Question 2| ID:7099  |Correct:C  |Keypad:6 |Name:The Bobcats  |Pressed:C  |Seconds:9.92  |Question Points:335  |Total:1262
10/07/2020 7:35:08 PM|Quizzame|Question 2 |ID:7099  |Correct:C  |Keypad:4 |Name:Seven Up  |Pressed:D  |Seconds:11.01  |Question Points:-27.4  |Total:697
10/07/2020 7:35:09 PM|Quizzame|Question 2 |ID:7099  |Correct:C  |Keypad:3 |Name:Rice Queens  |Pressed:A  |Seconds:12.41  |Question Points:-9  |Total:396
10/07/2020 7:35:51 PM|Quizzame|Question 3| ID:7016  |Correct:E  |Keypad:5 |Name:SevenMinsInKevin  |Pressed:E  |Seconds:1.05  |Question Points:2789  |Total:4568
10/07/2020 7:35:51 PM|Quizzame|Question 3| ID:7016  |Correct:E  |Keypad:7 |Name:ETC  |Pressed:E  |Seconds:1.87  |Question Points:2624  |Total:4353
