24/11/2021 7:32:51 PM|Quizzame|ROUND 1|Question 1| ID:17158  |Correct:C  |Keypad:3 |Name:Bothan Spies  |Pressed:C  |Seconds:1.36  |Question Points:909  |Total:909
24/11/2021 7:32:53 PM|Quizzame|ROUND 1|Question 1 |ID:17158  |Correct:C  |Keypad:10 |Name:Smartie Pints  |Pressed:A  |Seconds:3.89  |Question Points:-372  |Total:0
24/11/2021 7:32:53 PM|Quizzame|ROUND 1|Question 1| ID:17158  |Correct:C  |Keypad:5 |Name:ALG  |Pressed:C  |Seconds:3.95  |Question Points:735  |Total:735
24/11/2021 7:32:53 PM|Quizzame|ROUND 1|Question 1 |ID:17158  |Correct:C  |Keypad:11 |Name:Rumple4Skin  |Pressed:E  |Seconds:4.09  |Question Points:-365  |Total:0
24/11/2021 7:32:55 PM|Quizzame|ROUND 1|Question 1 |ID:17158  |Correct:C  |Keypad:7 |Name:Easy Street  |Pressed:A  |Seconds:5.9  |Question Points:-305  |Total:0
24/11/2021 7:32:56 PM|Quizzame|ROUND 1|Question 1| ID:17158  |Correct:C  |Keypad:6 |Name:Avacado Helmets  |Pressed:C  |Seconds:6.88  |Question Points:539  |Total:539
24/11/2021 7:32:59 PM|Quizzame|ROUND 1|Question 1 |ID:17158  |Correct:C  |Keypad:4 |Name:Jack and Jim!  |Pressed:D  |Seconds:9.67  |Question Points:-181  |Total:0
24/11/2021 7:33:03 PM|Quizzame|ROUND 1|Question 1 |ID:17158  |Correct:C  |Keypad:2 |Name:Boogers  |Pressed:A  |Seconds:14.08  |Question Points:-35  |Total:0
24/11/2021 7:33:41 PM|Quizzame|ROUND 1|Question 2| ID:6427  |Correct:E  |Keypad:3 |Name:Bothan Spies  |Pressed:E  |Seconds:4.92  |Question Points:670  |Total:1579
24/11/2021 7:33:42 PM|Quizzame|ROUND 1|Question 2| ID:6427  |Correct:E  |Keypad:10 |Name:Smartie Pints  |Pressed:E  |Seconds:5.91  |Question Points:604  |Total:232
24/11/2021 7:33:42 PM|Quizzame|ROUND 1|Question 2| ID:6427  |Correct:E  |Keypad:7 |Name:Easy Street  |Pressed:E  |Seconds:6.35  |Question Points:575  |Total:270
24/11/2021 7:33:44 PM|Quizzame|ROUND 1|Question 2| ID:6427  |Correct:E  |Keypad:5 |Name:ALG  |Pressed:E  |Seconds:7.84  |Question Points:475  |Total:1210
24/11/2021 7:33:44 PM|Quizzame|ROUND 1|Question 2| ID:6427  |Correct:E  |Keypad:2 |Name:Boogers  |Pressed:E  |Seconds:8.24  |Question Points:448  |Total:413
24/11/2021 7:33:45 PM|Quizzame|ROUND 1|Question 2 |ID:6427  |Correct:E  |Keypad:4 |Name:Jack and Jim!  |Pressed:C  |Seconds:8.62  |Question Points:-43.2  |Total:-181
