1/12/2021 7:32:02 PM|Quizzame|ROUND 1|Domanda 1 |ID:159  |Corretta:E  |Keypad:4 |Nome:Captain Mat  |Tasto:A  |Secondi:0.91  |P.ti Domanda:-470  |P.ti Totali:0
1/12/2021 7:32:02 PM|Quizzame|ROUND 1|Domanda 1 |ID:159  |Corretta:E  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:A  |Secondi:1.56  |P.ti Domanda:-449  |P.ti Totali:0
1/12/2021 7:32:03 PM|Quizzame|ROUND 1|Domanda 1 |ID:159  |Corretta:E  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:A  |Secondi:2.16  |P.ti Domanda:-429  |P.ti Totali:0
1/12/2021 7:32:04 PM|Quizzame|ROUND 1|Domanda 1 |ID:159  |Corretta:E  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:C  |Secondi:3.15  |P.ti Domanda:-396  |P.ti Totali:0
1/12/2021 7:32:05 PM|Quizzame|ROUND 1|Domanda 1| ID:159  |Corretta:E  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:E  |Secondi:3.88  |P.ti Domanda:740  |P.ti Totali:740
1/12/2021 7:32:05 PM|Quizzame|ROUND 1|Domanda 1| ID:159  |Corretta:E  |Keypad:6 |Nome:ETC  |Tasto:E  |Secondi:3.76  |P.ti Domanda:748  |P.ti Totali:748
1/12/2021 7:32:05 PM|Quizzame|ROUND 1|Domanda 1 |ID:159  |Corretta:E  |Keypad:2 |Nome:The ACB  |Tasto:B  |Secondi:4.66  |P.ti Domanda:-346  |P.ti Totali:0
1/12/2021 7:32:05 PM|Quizzame|ROUND 1|Domanda 1 |ID:159  |Corretta:E  |Keypad:7 |Nome:GHS  |Tasto:A  |Secondi:4.58  |P.ti Domanda:-349  |P.ti Totali:0
1/12/2021 7:32:08 PM|Quizzame|ROUND 1|Domanda 1 |ID:159  |Corretta:E  |Keypad:15 |Nome:Ale  |Tasto:B  |Secondi:7.38  |P.ti Domanda:-256  |P.ti Totali:0
1/12/2021 7:32:09 PM|Quizzame|ROUND 1|Domanda 1| ID:159  |Corretta:E  |Keypad:5 |Nome:Zero for One  |Tasto:E  |Secondi:8.42  |P.ti Domanda:436  |P.ti Totali:436
1/12/2021 7:32:16 PM|Quizzame|ROUND 1|Domanda 1 |ID:159  |Corretta:E  |Keypad:16 |Nome:Thirsty Camels  |Tasto:C  |Secondi:15.19  |P.ti Domanda:0  |P.ti Totali:0
